Date,Close/Last,Open,High,Low
01/06/2021,1997.00,1978.51,2016.43,1975.61
01/05/2021,1989.36,1972.24,1994.00,1972.24
01/04/2021,1975.17,2011.96,2011.96,1954.11
12/31/2020,2004.36,1993.44,2006.50,1989.47
12/30/2020,1993.53,1997.04,2000.20,1992.62
12/29/2020,1990.78,2005.41,2006.94,1988.58
12/28/2020,1995.16,1995.95,1997.95,1990.99
12/24/2020,1981.71,1978.00,1982.14,1974.95
12/23/2020,1975.49,1982.57,1987.03,1975.17
12/22/2020,1976.44,1979.10,1981.23,1969.29
12/21/2020,1977.90,1964.04,1981.71,1947.04
12/18/2020,1984.50,1992.13,1992.57,1970.18
12/17/2020,1989.04,1984.30,1989.07,1982.14
12/16/2020,1974.73,1971.77,1979.78,1967.29
12/15/2020,1970.38,1959.64,1970.58,1952.45
12/14/2020,1945.83,1961.63,1970.40,1945.16
12/11/2020,1951.65,1943.83,1952.83,1934.73
12/10/2020,1953.76,1942.56,1958.68,1937.80
12/09/2020,1952.73,1974.72,1976.77,1945.77
12/08/2020,1972.27,1959.98,1975.48,1958.82
12/07/2020,1965.48,1962.97,1967.51,1958.93
12/04/2020,1966.54,1953.73,1966.62,1952.76
12/03/2020,1949.97,1949.92,1958.01,1945.20
12/02/2020,1949.51,1939.35,1950.41,1935.28
12/01/2020,1947.25,1945.74,1955.19,1942.98
11/30/2020,1927.56,1932.67,1933.85,1910.24
11/27/2020,1934.56,1934.29,1937.71,1930.11
11/25/2020,1928.09,1927.23,1930.63,1920.08
11/24/2020,1927.65,1911.64,1930.80,1907.32
11/23/2020,1899.08,1898.08,1905.22,1886.18
11/20/2020,1887.90,1897.56,1899.54,1887.54
11/19/2020,1899.45,1884.95,1901.00,1879.71
11/18/2020,1890.25,1910.76,1915.54,1890.01
11/17/2020,1909.77,1908.86,1916.88,1899.21
11/16/2020,1916.35,1905.02,1917.06,1902.42
11/13/2020,1895.27,1883.54,1899.35,1879.22
11/12/2020,1872.59,1885.64,1889.00,1863.27
11/11/2020,1889.50,1883.91,1893.25,1880.43
11/10/2020,1871.53,1871.00,1877.95,1852.51
11/09/2020,1876.62,1889.25,1923.16,1875.13
11/06/2020,1865.63,1863.15,1871.69,1850.50
11/05/2020,1864.50,1854.36,1873.02,1854.02
11/04/2020,1827.80,1811.92,1849.04,1807.22
11/03/2020,1785.01,1768.13,1795.30,1767.60
11/02/2020,1752.99,1749.35,1764.25,1736.21
10/30/2020,1733.05,1748.26,1753.40,1714.58
10/29/2020,1759.88,1744.71,1775.90,1735.60
10/28/2020,1740.47,1775.06,1775.35,1739.15
10/27/2020,1802.90,1811.42,1812.03,1801.82
10/26/2020,1807.08,1824.47,1827.22,1787.37
10/23/2020,1839.90,1839.88,1840.46,1826.37
10/22/2020,1834.15,1829.34,1837.98,1814.77
10/21/2020,1825.85,1831.39,1842.68,1825.23
10/20/2020,1831.41,1831.93,1849.40,1828.13
10/19/2020,1824.74,1860.74,1865.25,1821.20
10/16/2020,1854.26,1861.36,1872.45,1852.80
10/15/2020,1855.24,1833.84,1858.11,1833.75
10/14/2020,1858.42,1872.95,1879.26,1853.53
10/13/2020,1870.99,1880.31,1880.78,1865.37
10/12/2020,1880.56,1864.54,1889.09,1862.98
10/09/2020,1850.06,1842.07,1852.56,1840.11
10/08/2020,1832.89,1828.43,1833.12,1824.27
10/07/2020,1819.45,1803.57,1822.94,1803.41
10/06/2020,1788.03,1813.83,1824.89,1784.76
10/05/2020,1813.31,1793.16,1813.72,1792.90
10/02/2020,1781.08,1771.00,1792.17,1771.00
10/01/2020,1799.75,1801.69,1806.09,1789.46
09/30/2020,1787.63,1775.69,1803.32,1775.69
09/29/2020,1772.75,1780.15,1784.45,1769.53
09/28/2020,1781.00,1774.96,1785.37,1771.55
09/25/2020,1752.54,1718.95,1756.61,1715.22
09/24/2020,1722.50,1710.07,1739.99,1702.27
09/23/2020,1718.27,1761.83,1763.94,1716.07
09/22/2020,1761.05,1751.32,1763.60,1736.96
09/21/2020,1743.03,1734.02,1743.33,1711.90
09/18/2020,1758.73,1780.02,1780.91,1744.19
09/17/2020,1777.12,1765.70,1786.68,1762.25
09/16/2020,1793.61,1807.28,1816.70,1793.11
09/15/2020,1802.44,1806.07,1811.41,1795.69
09/14/2020,1791.81,1783.09,1800.47,1782.18
09/11/2020,1766.82,1776.17,1781.72,1750.39
09/10/2020,1766.12,1806.73,1812.54,1760.72
09/09/2020,1797.13,1783.66,1810.38,1779.87
09/08/2020,1759.89,1774.96,1786.93,1758.42
09/04/2020,1813.47,1827.71,1841.33,1770.04
09/03/2020,1828.40,1883.06,1885.99,1813.94
09/02/2020,1896.86,1880.98,1900.60,1872.83
09/01/2020,1871.43,1860.20,1872.09,1854.93
08/31/2020,1857.86,1859.22,1865.59,1852.92
08/28/2020,1858.73,1853.57,1859.59,1847.21
08/27/2020,1846.26,1845.26,1855.65,1837.24
08/26/2020,1842.12,1824.58,1843.23,1823.79
08/25/2020,1822.37,1818.51,1822.70,1812.79
08/24/2020,1816.05,1813.44,1816.60,1805.88
08/21/2020,1799.04,1791.98,1800.63,1789.92
08/20/2020,1792.25,1775.68,1795.01,1775.03
08/19/2020,1784.86,1794.63,1797.85,1782.27
08/18/2020,1793.25,1792.83,1796.04,1783.19
08/17/2020,1788.73,1787.28,1790.67,1786.08
08/14/2020,1781.69,1779.06,1784.59,1775.76
08/13/2020,1782.13,1780.20,1789.72,1776.95
08/12/2020,1784.96,1773.22,1788.86,1773.13
08/11/2020,1758.92,1780.10,1784.18,1755.17
08/10/2020,1774.07,1773.58,1775.66,1760.80
08/07/2020,1770.61,1766.39,1772.28,1758.40
08/06/2020,1771.36,1757.18,1772.39,1755.00
08/05/2020,1760.13,1754.48,1761.27,1754.31
08/04/2020,1748.84,1743.59,1749.07,1737.82
08/03/2020,1742.30,1738.72,1746.56,1736.45
07/31/2020,1728.61,1726.06,1729.15,1701.77
07/30/2020,1714.18,1704.28,1716.71,1692.44
07/29/2020,1720.08,1705.11,1723.21,1704.84
07/28/2020,1698.50,1707.11,1712.30,1697.42
07/27/2020,1709.81,1698.33,1710.80,1695.86
07/24/2020,1696.17,1695.10,1702.70,1687.93
07/23/2020,1707.76,1728.65,1732.92,1700.91
07/22/2020,1730.49,1719.93,1732.23,1718.49
07/21/2020,1720.53,1728.20,1732.01,1715.78
07/20/2020,1719.10,1702.61,1722.58,1698.17
07/17/2020,1702.42,1702.05,1706.96,1692.02
07/16/2020,1697.09,1692.30,1699.90,1687.89
07/15/2020,1704.00,1705.09,1709.64,1689.70
07/14/2020,1688.75,1658.92,1690.50,1651.74
07/13/2020,1666.78,1697.54,1711.47,1663.97
07/10/2020,1684.78,1668.06,1685.67,1658.66
07/09/2020,1667.63,1680.40,1681.61,1648.03
07/08/2020,1676.40,1667.60,1676.63,1658.49
07/07/2020,1661.86,1671.18,1682.59,1660.64
07/06/2020,1679.24,1672.84,1680.32,1671.29
07/02/2020,1651.64,1663.42,1670.88,1648.81
07/01/2020,1644.52,1637.88,1651.14,1636.93
06/30/2020,1635.34,1608.80,1641.12,1607.58
06/29/2020,1609.74,1593.83,1610.15,1581.70
06/26/2020,1587.31,1620.32,1621.26,1585.39
06/25/2020,1625.99,1604.53,1627.29,1594.01
06/24/2020,1607.53,1640.18,1642.01,1598.15
06/23/2020,1650.41,1655.82,1663.17,1648.26
06/22/2020,1643.43,1630.17,1644.88,1623.90
06/19/2020,1632.81,1659.14,1661.12,1625.49
06/18/2020,1641.88,1631.96,1643.83,1630.24
06/17/2020,1639.93,1650.36,1654.26,1637.04
06/16/2020,1645.34,1658.91,1659.99,1620.15
06/15/2020,1614.79,1566.12,1621.05,1561.01
06/12/2020,1600.36,1619.65,1625.04,1570.83
06/11/2020,1579.86,1632.18,1641.13,1578.87
06/10/2020,1678.41,1688.91,1695.25,1673.01
06/09/2020,1685.47,1680.50,1693.63,1677.64
06/08/2020,1698.18,1681.71,1698.53,1678.68
06/05/2020,1677.35,1666.42,1686.32,1665.75
06/04/2020,1635.56,1634.48,1645.02,1624.20
06/03/2020,1642.18,1631.04,1646.40,1630.10
06/02/2020,1620.39,1612.32,1620.57,1604.48
06/01/2020,1607.18,1596.33,1610.48,1594.02
05/29/2020,1600.57,1587.79,1603.11,1575.93
05/28/2020,1591.77,1600.39,1612.11,1588.45
05/27/2020,1594.73,1585.61,1594.73,1558.91
05/26/2020,1571.97,1588.34,1588.34,1570.15
05/22/2020,1553.95,1548.85,1554.61,1542.64
05/21/2020,1549.62,1560.55,1565.22,1544.20
05/20/2020,1561.80,1556.02,1566.03,1555.05
05/19/2020,1536.30,1547.49,1557.98,1536.00
05/18/2020,1551.83,1542.05,1559.11,1540.62
05/15/2020,1505.34,1485.18,1506.06,1481.00
05/14/2020,1499.52,1467.09,1499.75,1454.56
05/13/2020,1482.23,1504.68,1510.72,1467.98
05/12/2020,1508.27,1545.09,1547.65,1508.04
05/11/2020,1539.58,1525.60,1547.04,1525.11
05/08/2020,1538.76,1530.69,1539.94,1524.85
05/07/2020,1513.67,1515.46,1524.02,1511.39
05/06/2020,1495.80,1514.47,1516.67,1495.25
05/05/2020,1505.24,1506.84,1520.62,1502.75
05/04/2020,1491.09,1473.15,1491.72,1467.25
05/01/2020,1483.71,1496.62,1502.64,1479.26
04/30/2020,1527.44,1531.69,1536.69,1517.77
04/29/2020,1541.66,1531.43,1549.31,1526.25
04/28/2020,1502.32,1532.24,1533.34,1500.82
04/27/2020,1511.18,1500.00,1516.16,1498.04
04/24/2020,1488.60,1476.90,1491.61,1465.11
04/23/2020,1467.51,1475.11,1492.13,1466.30
04/22/2020,1468.82,1463.05,1476.80,1456.02
04/21/2020,1434.99,1455.49,1461.16,1429.78
04/20/2020,1481.10,1484.30,1504.85,1480.04
04/17/2020,1507.69,1500.00,1509.92,1484.91
